0	2018-11-15 04:10:00	0
0	2018-11-15 06:35:00	0
0	2018-11-15 07:45:00	0
0	2018-11-15 08:50:00	0
0	2018-11-15 09:55:00	0
0	2018-11-15 14:40:00	0
0	2018-11-15 14:45:00	0
0	2018-11-15 19:25:00	0
10001	2018-11-15 00:00:00	11821
10001	2018-11-15 00:05:00	11583
10001	2018-11-15 00:10:00	11232
10001	2018-11-15 00:15:00	10658
10001	2018-11-15 00:20:00	10091
10001	2018-11-15 00:25:00	9817
10001	2018-11-15 00:30:00	9408
10001	2018-11-15 00:35:00	8976
10001	2018-11-15 00:40:00	8655
10001	2018-11-15 00:45:00	8224
10001	2018-11-15 00:50:00	7834
10001	2018-11-15 00:55:00	7524
10001	2018-11-15 01:00:00	7153
10001	2018-11-15 01:05:00	6802
10001	2018-11-15 01:10:00	6581
10001	2018-11-15 01:15:00	6207
10001	2018-11-15 01:20:00	5965
10001	2018-11-15 01:25:00	5718
10001	2018-11-15 01:30:00	5414
10001	2018-11-15 01:35:00	5102
10001	2018-11-15 01:40:00	4900
10001	2018-11-15 01:45:00	4652
10001	2018-11-15 01:50:00	4410
10001	2018-11-15 01:55:00	4261
10001	2018-11-15 02:00:00	4069
10001	2018-11-15 02:05:00	3867
10001	2018-11-15 02:10:00	3718
10001	2018-11-15 02:15:00	3531
10001	2018-11-15 02:20:00	3363
10001	2018-11-15 02:25:00	3227
10001	2018-11-15 02:30:00	3042
10001	2018-11-15 02:35:00	2926
10001	2018-11-15 02:40:00	2820
10001	2018-11-15 02:45:00	2679
10001	2018-11-15 02:50:00	2588
10001	2018-11-15 02:55:00	2447
10001	2018-11-15 03:00:00	2383
10001	2018-11-15 03:05:00	2294
10001	2018-11-15 03:10:00	2212
10001	2018-11-15 03:15:00	2094
10001	2018-11-15 03:20:00	2020
10001	2018-11-15 03:25:00	1929
10001	2018-11-15 03:30:00	1850
10001	2018-11-15 03:35:00	1781
10001	2018-11-15 03:40:00	1698
10001	2018-11-15 03:45:00	1617
10001	2018-11-15 03:50:00	1572
10001	2018-11-15 03:55:00	1520
10001	2018-11-15 04:00:00	1456
10001	2018-11-15 04:05:00	1395
10001	2018-11-15 04:10:00	1336
10001	2018-11-15 04:15:00	1311
10001	2018-11-15 04:20:00	1286
10001	2018-11-15 04:25:00	1263
10001	2018-11-15 04:30:00	1239
10001	2018-11-15 04:35:00	1170
10001	2018-11-15 04:40:00	1142
10001	2018-11-15 04:45:00	1104
10001	2018-11-15 04:50:00	1051
10001	2018-11-15 04:55:00	1027
10001	2018-11-15 05:00:00	1018
10001	2018-11-15 05:05:00	988
10001	2018-11-15 05:10:00	950
10001	2018-11-15 05:15:00	901
10001	2018-11-15 05:20:00	880
10001	2018-11-15 05:25:00	864
10001	2018-11-15 05:30:00	836
10001	2018-11-15 05:35:00	827
10001	2018-11-15 05:40:00	800
10001	2018-11-15 05:45:00	788
10001	2018-11-15 05:50:00	773
10001	2018-11-15 05:55:00	765
10001	2018-11-15 06:00:00	750
10001	2018-11-15 06:05:00	711
10001	2018-11-15 06:10:00	706
10001	2018-11-15 06:15:00	705
10001	2018-11-15 06:20:00	710
10001	2018-11-15 06:25:00	725
10001	2018-11-15 06:30:00	705
10001	2018-11-15 06:35:00	713
10001	2018-11-15 06:40:00	709
